id,drought_stress_factor_1_to_5,growth_scenario,market_gravity
31_2,1,moderate_growth,50
31_3,1,moderate_growth,50
31_4,1,moderate_growth,50
31_5,1,moderate_growth,50
31_6,1,moderate_growth,50
31_7,2,moderate_growth,50
32_0,1,moderate_growth,50
32_1,1,moderate_growth,50
32_2,1,moderate_growth,50
32_3,1,moderate_growth,50
32_4,1,moderate_growth,50
32_5,1,moderate_growth,50
32_6,1,moderate_growth,50
34_0,5,moderate_growth,50
34_1,1,moderate_growth,50
34_2,5,moderate_growth,50
34_3,5,moderate_growth,50
34_4,5,moderate_growth,50
34_5,5,moderate_growth,50
34_6,5,moderate_growth,50
34_7,1,moderate_growth,50
34_8,3,moderate_growth,50
36_0,5,moderate_growth,50
36_1,5,moderate_growth,50
36_2,5,moderate_growth,50
36_3,1,moderate_growth,50
36_4,5,moderate_growth,50
36_5,5,moderate_growth,50
36_6,1,moderate_growth,50
36_7,1,moderate_growth,50
36_8,1,moderate_growth,50
37_0,5,moderate_growth,50
37_1,5,moderate_growth,50
37_2,5,moderate_growth,50
37_3,5,moderate_growth,50
37_4,5,moderate_growth,50
37_5,5,moderate_growth,50
38_0,2,moderate_growth,50
38_1,2,moderate_growth,50
38_2,2,moderate_growth,50
38_3,2,moderate_growth,50
38_4,2,moderate_growth,50
38_5,2,moderate_growth,50
38_6,2,moderate_growth,50
38_7,2,moderate_growth,50
39_0,3,moderate_growth,50
39_1,3,moderate_growth,50
39_2,3,moderate_growth,50
39_3,3,moderate_growth,50
39_4,3,moderate_growth,50
40_0,2,moderate_growth,50
40_1,2,moderate_growth,50
41_0,3,moderate_growth,50
41_1,1,moderate_growth,50
41_10,3,moderate_growth,50
41_11,3,moderate_growth,50
41_12,1,moderate_growth,50
41_13,1,moderate_growth,50
41_2,1,moderate_growth,50
41_3,1,moderate_growth,50
41_4,3,moderate_growth,50
41_5,3,moderate_growth,50
41_6,3,moderate_growth,50
41_7,1,moderate_growth,50
41_8,1,moderate_growth,50
41_9,1,moderate_growth,50
42_0,4,moderate_growth,50
42_1,4,moderate_growth,50
42_2,4,moderate_growth,50
42_3,4,moderate_growth,50
42_4,4,moderate_growth,50
42_5,4,moderate_growth,50
42_6,4,moderate_growth,50
42_7,4,moderate_growth,50
42_8,4,moderate_growth,50
42_9,4,moderate_growth,50
45_0,3,moderate_growth,50
45_1,3,moderate_growth,50
45_2,3,moderate_growth,50
45_3,3,moderate_growth,50
47_0,5,moderate_growth,50
47_1,5,moderate_growth,50
47_2,5,moderate_growth,50
48_0,4,moderate_growth,50
48_1,4,moderate_growth,50
48_10,4,moderate_growth,50
48_11,4,moderate_growth,50
48_12,4,moderate_growth,50
48_13,4,moderate_growth,50
48_14,4,moderate_growth,50
48_15,4,moderate_growth,50
48_16,4,moderate_growth,50
48_17,4,moderate_growth,50
48_18,4,moderate_growth,50
48_19,4,moderate_growth,50
48_2,4,moderate_growth,50
48_20,4,moderate_growth,50
48_21,4,moderate_growth,50
48_22,4,moderate_growth,50
48_23,4,moderate_growth,50
48_24,4,moderate_growth,50
48_25,4,moderate_growth,50
48_26,4,moderate_growth,50
48_27,4,moderate_growth,50
48_28,4,moderate_growth,50
48_29,4,moderate_growth,50
48_3,4,moderate_growth,50
48_30,4,moderate_growth,50
48_31,4,moderate_growth,50
48_32,4,moderate_growth,50
48_33,4,moderate_growth,50
48_34,4,moderate_growth,50
48_35,4,moderate_growth,50
48_36,4,moderate_growth,50
48_37,4,moderate_growth,50
48_38,4,moderate_growth,50
48_39,4,moderate_growth,50
48_4,4,moderate_growth,50
